iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9738634377717972,0.28575000166893005,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.713426227370898,0.34800004959106445,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.7025179415941238,0.35575005412101746,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.5531078229347866,0.3854583501815796,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.5153010189533234,0.3942917287349701,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.4256866176923115,0.4051666855812073,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.3104764819145203,0.42500004172325134,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.2642581711212795,0.42883336544036865,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.2152905613183975,0.4299583435058594,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.1562904343008995,0.4374583661556244,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.103744273384412,0.44079169631004333,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.0690178697307904,0.4449167251586914,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.0329409539699554,0.4449583888053894,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.9754421363274256,0.4474583864212036,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.9379898508389791,0.4516667127609253,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.895683745543162,0.4543750286102295,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.8615973393122355,0.4541667103767395,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.835627406835556,0.4542083442211151,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.7930601189533869,0.4568750858306885,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.7628247266014417,0.4592916667461395,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.732691440731287,0.4583333432674408,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.6959900744259357,0.4594166874885559,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.670713177571694,0.4610000252723694,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.6455528351167837,0.4611666798591614,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6160211848715941,0.46420836448669434,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.5913211417694887,0.4638333320617676,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.56281819815437,0.46533331274986267,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.5425765911738077,0.4622916579246521,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5223781056702137,0.463291734457016,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.4919852378467719,0.46508345007896423,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
