iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.2663989067077637,0.12945178151130676,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
1,1.9951972862084706,0.3214285969734192,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
2,1.6335525810718536,0.4161664843559265,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
3,1.4646743734677632,0.44617849588394165,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
4,1.2934347291787465,0.4975990056991577,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
5,1.2076052129268646,0.505402147769928,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
6,1.111454298098882,0.5191076993942261,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
7,1.0061464955409367,0.5462185144424438,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
8,0.9392580340305964,0.5541216731071472,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
9,0.9360954761505127,0.5548219680786133,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
10,0.822147324681282,0.5693277716636658,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
11,0.7463379154602686,0.5830332040786743,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
12,0.6981024444103241,0.5840336084365845,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
13,0.6434009224176407,0.5916366577148438,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
14,0.5957428514957428,0.5975390076637268,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
15,0.5727671807010969,0.5933372974395752,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
16,0.4974605490763982,0.6022409200668335,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
17,0.4838941966493924,0.6051421165466309,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
18,0.42463384320338565,0.6076430678367615,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
19,0.3968643670280774,0.6090436577796936,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
20,0.36278680215279263,0.6097438931465149,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
21,0.3368087485432625,0.6106442809104919,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
22,0.3063930633167426,0.6119447946548462,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
23,0.2834236149986585,0.61024409532547,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
24,0.26218540593981743,0.6098439693450928,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
25,0.23196829855442047,0.6105442047119141,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
26,0.2110143043100834,0.6117447018623352,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
27,0.19489408656954765,0.6124449372291565,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
28,0.18028423376381397,0.610744297504425,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
29,0.1593821613738934,0.6135454177856445,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
30,0.14638341777026653,0.6147459149360657,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
31,0.13252672677238783,0.6130452156066895,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
32,0.11976430378854275,0.6142457127571106,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
33,0.10547694936394691,0.6144458055496216,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
34,0.09624704470237096,0.6147458553314209,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
35,0.08697154838591814,0.6149460077285767,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
36,0.07804952810208003,0.6149460077285767,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
37,0.07027025365581115,0.6157463788986206,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
38,0.0644189507390062,0.6145458221435547,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
39,0.05858193648358186,0.6164466142654419,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
40,0.05303511302918196,0.6142457127571106,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
41,0.0477008797849218,0.615746259689331,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
42,0.044267059148599706,0.6151460409164429,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
43,0.04136718002458414,0.6152461767196655,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
44,0.03788580202187101,0.6170468926429749,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
45,0.03486145551626881,0.6171468496322632,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
46,0.032359675814708076,0.6145458221435547,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
47,0.029847688196847837,0.6146458387374878,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
48,0.02829294806967179,0.6167466640472412,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
49,0.026338383400191862,0.6153461337089539,12,1,2,"(3, 32, 32)",10,0.07,0.98,11,50,5
