iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.9200845335920652,0.43166667222976685,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
1,0.4800364784896374,0.45475006103515625,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
2,0.4091065314908822,0.4596250653266907,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
3,0.3000574701776107,0.46700000762939453,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
4,0.287329432554543,0.471000075340271,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
5,0.22016625913480917,0.4795416593551636,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
6,0.18733857944607735,0.4833333194255829,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
7,0.18938035455842814,0.48445841670036316,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
8,0.18225214661409458,0.48462504148483276,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
9,0.13979641969005266,0.484958291053772,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
10,0.12573189955825606,0.4881666898727417,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
11,0.10490225232206285,0.4951249957084656,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
12,0.08672800411780675,0.4958333671092987,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
13,0.12025663217840095,0.48041674494743347,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
14,0.09733865860228737,0.4885416626930237,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
15,0.09502422662141423,0.4881250560283661,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
16,0.08216014954571922,0.49000000953674316,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
17,0.07775076571851969,0.4906250238418579,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
18,0.0539153969536225,0.5000417232513428,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
19,0.06272039477092524,0.494791716337204,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
20,0.054024016562228404,0.49783337116241455,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
21,0.06322016163418691,0.49370837211608887,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
22,0.04961738424996535,0.4972500503063202,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
23,0.0530226146026204,0.4903333783149719,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
24,0.047529616858810186,0.49037498235702515,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
25,0.032872823028204344,0.49545833468437195,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
26,0.03635526200135549,0.4970417618751526,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
27,0.036903982846221574,0.4856250286102295,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
28,0.029498438952335466,0.4941249489784241,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
29,0.043204658781178296,0.49183332920074463,24,8,500,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
