iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,2.021345486243566,0.36057695746421814,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
1,1.2584302028020222,0.5170272588729858,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
2,1.1282612830400467,0.5666065812110901,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
3,1.058420290549596,0.581730842590332,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
4,0.9759880900382996,0.59765625,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
5,0.900500496228536,0.6118790507316589,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
6,0.8514622698227564,0.6202924251556396,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
7,0.7799678246180216,0.6303084492683411,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
8,0.7429142147302628,0.6369190812110901,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
9,0.6932730575402578,0.6392228603363037,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
10,0.6571882689992586,0.64453125,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
11,0.6151498903830847,0.6451321840286255,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
12,0.5752576465408007,0.6491386294364929,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
13,0.5460234321653843,0.6516426801681519,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
14,0.5145601195593675,0.652043342590332,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
15,0.4783821739256382,0.6536458730697632,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
16,0.4538343163828055,0.6557492017745972,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
17,0.4241228389243285,0.6591547131538391,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
18,0.40085606649518013,0.6606570482254028,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
19,0.3768608681857586,0.664663553237915,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
20,0.35164470473925274,0.6647636890411377,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
21,0.32826992372671765,0.6662660241127014,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
22,0.3095103185623884,0.669170618057251,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
23,0.29029899276793003,0.6693710088729858,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
24,0.2716808548818032,0.6693710088729858,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
25,0.25360272514323395,0.6713742613792419,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
26,0.23733934325476488,0.6711739301681519,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
27,0.21985643791655698,0.6725761890411377,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
28,0.20518435661991438,0.6725761890411377,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
29,0.18924808874726295,0.6759816408157349,24,1,500,1000,0.0,2,"(3, 32, 32)",10,0.04,0.99,1,,30,10
