iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.2659074664115906,0.11739697307348251,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
1,2.1003694037596383,0.16256503760814667,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
2,1.5056661168734233,0.2575530409812927,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
3,1.1082083880901337,0.2782112956047058,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
4,0.9395200709501902,0.28836536407470703,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
5,0.8164230361580849,0.30507203936576843,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
6,0.7028912641108036,0.3015706241130829,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
7,0.6397975372771422,0.3108743727207184,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
8,0.574720079700152,0.3113745450973511,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
9,0.5246242930491766,0.32943177223205566,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
10,0.4292365411917369,0.32888156175613403,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
11,0.3654591105878353,0.3304321765899658,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
12,0.3488826487834255,0.3471888303756714,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
13,0.28427005900690955,0.3408363461494446,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
14,0.27475903183221817,0.3395858705043793,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
15,0.22836304471517602,0.3489896059036255,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
16,0.19145097179959217,0.35439175367355347,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
17,0.17730132086823383,0.36179471015930176,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
18,0.1570169748738408,0.36044418811798096,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
19,0.15471333047995964,0.3608943819999695,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
20,0.12509025493636727,0.37179872393608093,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
21,0.11795470747165382,0.3731492757797241,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
22,0.10816522866177063,0.3773009777069092,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
23,0.07819473650306463,0.3773009479045868,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
24,0.09281177578183512,0.38045212626457214,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
25,0.07015249870407085,0.3777511715888977,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
26,0.0532602999980251,0.37700074911117554,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
27,0.09428036368141572,0.37555021047592163,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
28,0.08070542671096821,0.3787514865398407,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
29,0.06162911094725132,0.3862544298171997,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
30,0.06484076636843383,0.3821028172969818,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
31,0.06028565252199769,0.3810524642467499,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
32,0.05291195477669438,0.3832533061504364,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
33,0.060566039523109794,0.3823530077934265,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
34,0.05175202735699713,0.3875550627708435,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
35,0.0360861347677807,0.38945579528808594,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
36,0.05150318308733404,0.38370347023010254,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
37,0.026774906747353572,0.39095640182495117,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
38,0.05348846708269169,0.39010605216026306,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
39,0.04238852757650117,0.38695475459098816,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
40,0.03331373065399627,0.3868046700954437,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
41,0.056591964326798916,0.3861544728279114,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
42,0.024883861498286326,0.3888055682182312,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
43,0.030098857008852065,0.3872048556804657,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
44,0.030037283431738615,0.39185675978660583,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
45,0.03688568951717267,0.3852040767669678,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
46,0.03486086350555221,0.38695475459098816,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
47,0.02476541461267819,0.38850539922714233,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
48,0.031461235717870295,0.39005598425865173,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
49,0.0388550132435436,0.38810524344444275,24,2,100,1000,3,"(3, 32, 32)",10,0.01,0.99,10,50,10
