iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,2.034562865893046,0.23076926171779633,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
1,1.8018503735462825,0.3296274244785309,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
2,1.6353239864110947,0.3925280272960663,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
3,1.5307970593372981,0.4220753312110901,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
4,1.4428880264361699,0.44721555709838867,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
5,1.3886154194672902,0.4600360095500946,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
6,1.313172698020935,0.4840744733810425,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
7,1.2660645097494125,0.4921875,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
8,1.198394536972046,0.5102163553237915,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
9,1.1624147643645604,0.5161258578300476,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
10,1.097882516682148,0.5328525900840759,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
11,1.0419127866625786,0.5413662195205688,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
12,1.0246800382932026,0.5430690050125122,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
13,0.9937710712353388,0.5460737347602844,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
14,0.9448884377876917,0.556490421295166,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
15,0.9208584999044737,0.5614985227584839,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
16,0.8935444603363673,0.565605103969574,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
17,0.8708105087280273,0.566105842590332,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
18,0.834352878232797,0.573918342590332,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
19,0.8236833090583483,0.571213960647583,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
20,0.7992474188407263,0.5753204822540283,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
21,0.773450031876564,0.5802284479141235,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
22,0.7617693990468979,0.5823318362236023,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
23,0.739819310605526,0.5853365659713745,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
24,0.7237862472732862,0.5859375,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
25,0.7059296518564224,0.5879406332969666,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
26,0.6942415411273638,0.5926482677459717,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
27,0.6835183699925741,0.5901442766189575,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
28,0.6704357415437698,0.5920473337173462,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
29,0.6568807562192281,0.5933493971824646,24,1,500,1000,0,"(3, 32, 32)",10,0.03,0.99,23,30,10,1
