iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.8951155891021092,0.38495397567749023,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
1,1.43070683379968,0.46003401279449463,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
2,1.3371682663758595,0.4849940240383148,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
3,1.235589976112048,0.5051521062850952,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
4,1.1245527813831966,0.5294617414474487,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
5,1.0695338199536006,0.5432672500610352,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
6,1.002304178973039,0.5566726922988892,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
7,0.9369933431347212,0.5681772232055664,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
8,0.8843739628791809,0.5723289251327515,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
9,0.8292273879051208,0.5767306685447693,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
10,0.8019667019446691,0.5795318484306335,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
11,0.7535297597448031,0.5861344337463379,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
12,0.713874431947867,0.5890856385231018,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
13,0.6817847440640131,0.590286135673523,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
14,0.6410615692536036,0.5935874581336975,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
15,0.6058836653828621,0.5961384177207947,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
16,0.5722797500590483,0.5993397235870361,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
17,0.5459010613461336,0.600040078163147,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
18,0.5149551182985306,0.602691113948822,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
19,0.4866024988392989,0.6038915514945984,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
20,0.4609971046447754,0.6058924198150635,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
21,0.43458089729150134,0.6075429916381836,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
22,0.41620618229111034,0.6074429750442505,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
23,0.39248382300138474,0.6078431606292725,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
24,0.3718438769380252,0.6075429916381836,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
25,0.3514309301972389,0.6094938516616821,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
26,0.334180590386192,0.6098439693450928,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
27,0.31226967213054496,0.611144483089447,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
28,0.29435902275145054,0.6123449206352234,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
29,0.2745624581972758,0.6127451062202454,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
