iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.8198304772377014,0.3324166536331177,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
1,1.5565864245096843,0.4075833559036255,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
2,1.457866330941518,0.43324995040893555,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
3,1.4125560224056244,0.43929165601730347,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
4,1.2838740398486455,0.46962499618530273,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
5,1.2139915724595387,0.484000027179718,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
6,1.0995279947916667,0.5043749809265137,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
7,1.053233380119006,0.5077500343322754,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
8,0.9961147805054983,0.5159583687782288,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
9,0.9388039112091064,0.5229167938232422,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
10,0.8905364150802294,0.5277500152587891,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
11,0.8315799087285995,0.5352917909622192,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
12,0.7944093743960062,0.5375416874885559,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
13,0.7611484477917353,0.5403749942779541,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
14,0.7238553365071615,0.5420833230018616,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
15,0.6774106696248055,0.5480000972747803,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
16,0.6502888786296049,0.549708366394043,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
17,0.6166158591707548,0.5498334169387817,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
18,0.5930826080342134,0.5503751039505005,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
19,0.5625502951443195,0.5528751611709595,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
20,0.5265983256200949,0.5561249852180481,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
21,0.4996078126132488,0.5583333969116211,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
22,0.47950031732519466,0.5575833320617676,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
23,0.4576030770937602,0.5575416088104248,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
24,0.4312911815941334,0.5602501034736633,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
25,0.40303530916571617,0.5611666440963745,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
26,0.3893301784992218,0.56166672706604,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
27,0.36403146634499234,0.5643333196640015,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
28,0.34568174183368683,0.564833402633667,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
29,0.3313197363168001,0.564541757106781,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
