iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.9308783213297527,0.32850003242492676,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
1,1.6522564440965652,0.3693333566188812,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
2,1.5828383266925812,0.3918750286102295,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
3,1.4535975058873494,0.4242083430290222,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
4,1.360544686516126,0.437333345413208,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
5,1.1937485188245773,0.47937506437301636,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
6,1.1435292636354764,0.4854167401790619,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
7,1.094834807018439,0.49162501096725464,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
8,1.0264996712406476,0.5001250505447388,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
9,0.9570885946353277,0.5136666893959045,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
10,0.902322456240654,0.5198750495910645,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
11,0.8592607180277506,0.5233750343322754,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
12,0.8357420961062113,0.5253750085830688,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
13,0.7933789392312368,0.5303750038146973,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
14,0.7434571534395218,0.5362917184829712,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
15,0.7226735278964043,0.5333333015441895,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
16,0.678523284693559,0.5402083396911621,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
17,0.6572398444016775,0.5386667251586914,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
18,0.6266599632799625,0.5405000448226929,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
19,0.5956549694140753,0.5445833206176758,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
20,0.5637747260431448,0.546750009059906,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
21,0.5452280143896738,0.5473751425743103,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
22,0.5250541778902212,0.5476666688919067,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
23,0.5019364940623442,0.5492083430290222,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
24,0.4778037803868453,0.5512917041778564,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
25,0.45675791675845784,0.5517916679382324,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
26,0.4335717198749383,0.5531250238418579,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
27,0.4209379106760025,0.5508333444595337,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
28,0.4071732697387536,0.5515416860580444,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
29,0.378488015383482,0.5568333864212036,24,3,500,1000,9,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
