iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.901329865058263,0.3002500534057617,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
1,1.6410255034764607,0.3708333671092987,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
2,1.5981908043225606,0.37599998712539673,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
3,1.4383208254973094,0.4227083623409271,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
4,1.383345792690913,0.42712509632110596,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
5,1.265069141983986,0.4521666467189789,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
6,1.1804940154155095,0.46283334493637085,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
7,1.1066124389568965,0.47787508368492126,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
8,1.0674304167429607,0.4805000424385071,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
9,0.9867137173811594,0.49362510442733765,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
10,0.9346074784795443,0.49808335304260254,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
11,0.8865256061156591,0.5033750534057617,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
12,0.8507371917366982,0.5076251029968262,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
13,0.802496870358785,0.5127500295639038,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
14,0.7656802584727606,0.5121250152587891,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
15,0.7244015634059906,0.5189999938011169,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
16,0.6908220847447714,0.5220001339912415,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
17,0.657017799715201,0.5219167470932007,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
18,0.6274660378694534,0.5240000486373901,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
19,0.5914498443404833,0.5289584398269653,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
20,0.5633476736644903,0.5294167995452881,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
21,0.5387607129911581,0.528583288192749,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
22,0.5075944090882937,0.5338749885559082,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
23,0.48669840892155963,0.532833456993103,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
24,0.4605041903754075,0.5341250896453857,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
25,0.4393039010465145,0.5360000133514404,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
26,0.4167577090362708,0.5368333458900452,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
27,0.3944527618587017,0.5380000472068787,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
28,0.3732764186958472,0.5371667146682739,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
29,0.3552602057655652,0.5402917265892029,24,4,500,1000,14,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
