iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.8812373280525208,0.2876666784286499,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
1,1.642485777537028,0.37241673469543457,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
2,1.5326732446750004,0.4104582965373993,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
3,1.4636897693077724,0.4181250035762787,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
4,1.321471467614174,0.44808340072631836,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
5,1.253221978743871,0.461124986410141,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
6,1.163234497110049,0.4736666679382324,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
7,1.1049524794022243,0.4854999780654907,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
8,1.0648527443408966,0.49208343029022217,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
9,1.0014488771557808,0.4981667399406433,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
10,0.9333607032895088,0.5067500472068787,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
11,0.8973542302846909,0.5115833282470703,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
12,0.846756877998511,0.5135000348091125,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
13,0.7920486604173979,0.518541693687439,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
14,0.7628369728724161,0.5219583511352539,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
15,0.7249120995402336,0.5241250395774841,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
16,0.6932588318983713,0.5256666541099548,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
17,0.6620181898276011,0.5278750658035278,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
18,0.6264650225639343,0.5299584865570068,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
19,0.6039964457352957,0.530458390712738,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
20,0.5707412275175253,0.5323749780654907,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
21,0.5405623751382033,0.5323750376701355,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
22,0.5143549169103304,0.5329583883285522,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
23,0.4943297815819581,0.5366250276565552,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
24,0.4687230897446473,0.5358334183692932,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
25,0.4455973319709301,0.5356251001358032,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
26,0.41871220121781033,0.5394167304039001,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
27,0.39630717659989995,0.5394584536552429,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
28,0.3779009282588959,0.5398334264755249,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
29,0.36235860114296276,0.5384167432785034,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
