iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.583560253183047,0.44411060214042664,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
1,1.2170094003280003,0.5412660837173462,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
2,1.1313523054122925,0.5690104961395264,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
3,1.043807161351045,0.5936498641967773,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
4,0.9571948647499084,0.6121796369552612,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
5,0.9033956974744797,0.6176883578300476,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
6,0.8424105445543925,0.6262019872665405,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
7,0.7861556832989057,0.636418342590332,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
8,0.7337741653124491,0.6419271230697632,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
9,0.6879962608218193,0.6484375596046448,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
10,0.6451523900032043,0.652944803237915,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
11,0.610282743970553,0.6540464758872986,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
12,0.5740238850315412,0.6584535241127014,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
13,0.5395741189519564,0.6602564454078674,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
14,0.5063597609599432,0.6632611751556396,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
15,0.47670132915178937,0.6662660837173462,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
16,0.4469928952554862,0.666766881942749,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
17,0.4216984522839387,0.6696714758872986,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
18,0.3981205349167188,0.6725761890411377,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
19,0.374851460258166,0.672776460647583,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
20,0.34937913343310356,0.6741787195205688,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
21,0.3286917718748252,0.6747795939445496,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
22,0.311536963408192,0.6769832372665405,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
23,0.2907908546427886,0.6792869567871094,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
24,0.27287967565159005,0.6786860227584839,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
25,0.2570974932362636,0.6803886294364929,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
26,0.23939277355869612,0.6801883578300476,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
27,0.2268571201711893,0.682692289352417,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
28,0.21083916847904524,0.6830930113792419,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
29,0.1978067054102818,0.6824921369552612,24,1,500,1000,3,"(3, 32, 32)",10,0.03,0.99,23,30,10,4
