iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.8203508655230205,0.36174464225769043,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
1,1.4522987256447475,0.4494297504425049,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
2,1.3173388491074245,0.4809923768043518,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
3,1.237774521112442,0.5050520300865173,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
4,1.133236934741338,0.5246099233627319,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
5,1.07315032184124,0.5334133505821228,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
6,0.9913124615947405,0.5493196845054626,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
7,0.9444693401455879,0.5533713102340698,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
8,0.8826347291469574,0.5610744953155518,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
9,0.8357761154572169,0.5694277286529541,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
10,0.7913194472591082,0.5722789168357849,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
11,0.7531618376572927,0.5774310231208801,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
12,0.7107680315772692,0.5795318484306335,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
13,0.6720775763193766,0.5821828842163086,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
14,0.6434882978598276,0.5857843160629272,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
15,0.607085312406222,0.5882352590560913,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
16,0.5744801896313826,0.5895358324050903,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
17,0.5516198414067427,0.5929871797561646,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
18,0.521572656929493,0.5938374996185303,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
19,0.49455586696664494,0.5949380397796631,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
20,0.466355341176192,0.5943377017974854,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
21,0.44536332537730533,0.5971888303756714,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
22,0.4232136396070321,0.5974389910697937,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
23,0.3988829975326856,0.5995398163795471,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
24,0.38208896666765213,0.6005902290344238,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
25,0.3585079275071621,0.6015905141830444,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
26,0.34251145645976067,0.6021907925605774,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
27,0.3207381783674161,0.6036413908004761,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
28,0.3058226127177477,0.6035914421081543,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
29,0.29067014157772064,0.6047919392585754,24,2,500,1000,6,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
