iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,77.89521979014079,8.802366256713867,89.03303527832031,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
1,63.67114501953125,7.848837375640869,79.34660339355469,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
2,52.762814331054685,7.0994873046875,71.78170776367188,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
3,44.068477096557615,6.412312984466553,64.87398529052734,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
4,37.04063933690389,5.823421955108643,58.96039962768555,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
5,31.45977512359619,5.341408729553223,54.082176208496094,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
6,26.641751041412352,4.864490509033203,49.293888092041016,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
7,22.97009292602539,4.44851541519165,45.12238693237305,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
8,19.936115074157716,4.099687099456787,41.5966796875,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
9,17.33746707280477,3.800973415374756,38.56603240966797,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
10,15.167123012542724,3.525599479675293,35.79069900512695,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
11,13.514848424593607,3.291991710662842,33.46299743652344,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
12,12.058253145217895,3.0779123306274414,31.33497428894043,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
13,11.016226646105448,2.9153008460998535,29.72027015686035,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
14,10.096348198254903,2.7545230388641357,28.124649047851562,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
15,9.254000244935353,2.616384744644165,26.73721694946289,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
16,8.295620373884837,2.4566609859466553,25.139225006103516,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
17,7.681062999566396,2.3299431800842285,23.83541488647461,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
18,7.157087879975637,2.2130770683288574,22.65083122253418,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
19,6.608713661829631,2.1015987396240234,21.542001724243164,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
20,6.152292591730753,2.0151782035827637,20.690574645996094,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
21,5.958089083830515,1.959199070930481,20.148927688598633,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
22,5.69725236972173,1.8985553979873657,19.562450408935547,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
23,5.393950373331705,1.8247512578964233,18.841917037963867,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
24,5.061204037268957,1.7493855953216553,18.10038948059082,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
25,4.79076041062673,1.6847907304763794,17.445886611938477,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
26,4.528571121295293,1.6157578229904175,16.776052474975586,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
27,4.228039499123891,1.5317049026489258,15.940516471862793,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
28,4.094259410103162,1.4789892435073853,15.421984672546387,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
29,3.8488307140270868,1.4092730283737183,14.730524063110352,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
30,3.8041671733061473,1.3712786436080933,14.349982261657715,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
31,3.616988613108794,1.3352835178375244,13.993725776672363,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
32,3.456357211768627,1.2795783281326294,13.444157600402832,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
33,3.4056086083253225,1.233241081237793,12.975703239440918,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
34,3.239149936437607,1.195233941078186,12.616155624389648,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
35,3.281172538201014,1.194566011428833,12.596920013427734,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
