iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.0563458849986394,0.31679168343544006,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.4161482735847433,0.36212509870529175,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.5568040162324905,0.37012502551078796,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.20499926541621485,0.41237497329711914,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.12352307288286586,0.42920833826065063,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.8302512334194034,0.40654170513153076,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.41356774621332687,0.44479167461395264,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.0540376715362072,0.4586666524410248,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.04127307503949851,0.47345834970474243,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.10196475921353947,0.468999981880188,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.04821793525479734,0.4752500057220459,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.39577972097322345,0.4735417068004608,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.11621278869764258,0.4838334023952484,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.013304820361857614,0.49274998903274536,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.020048290917960305,0.4946250319480896,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.015261515974998474,0.49645838141441345,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.026029456600857277,0.4957500696182251,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.009749464108608663,0.4989583492279053,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.009243037726264447,0.5018749833106995,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.02214867736135299,0.500041663646698,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.00819153773287932,0.5043333768844604,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.007573362265247852,0.5073750019073486,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.007438528351485729,0.5084584355354309,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.0069562655019884305,0.5087083578109741,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.0065475662316506105,0.5114583373069763,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.0072793722890007,0.5088333487510681,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.006147725332994014,0.5110000371932983,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.005692711061177154,0.5130833983421326,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.0056843983475118876,0.5115833282470703,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.005511296020510296,0.5132917165756226,24,4,500,1000,15.0,6,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
