iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.6840982114275296,0.23533335328102112,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
1,1.0616966712598999,0.3116666376590729,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
2,0.7287176394602284,0.34141668677330017,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
3,0.5981102398363873,0.3478333652019501,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
4,0.4615304005565122,0.35845834016799927,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
5,0.37004686331298825,0.36629170179367065,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
6,0.31729835536680184,0.36079174280166626,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
7,0.23393546942194612,0.3685000538825989,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
8,0.17731336567279263,0.3731667399406433,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
9,0.17989047701606373,0.36483341455459595,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
10,0.11934979492798448,0.3735000491142273,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
11,0.10984772640707281,0.3722500205039978,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
12,0.07636735523798659,0.3725833594799042,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
13,0.07904831416575082,0.36770832538604736,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
14,0.05220530356746167,0.37412500381469727,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
15,0.04470593567142108,0.37062501907348633,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
16,0.039721578604561124,0.37170836329460144,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
17,0.03222818149758192,0.3699166774749756,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
18,0.026413638828671537,0.37275001406669617,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
19,0.0247380227301619,0.3725833594799042,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
20,0.019894411464823254,0.3724166750907898,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
21,0.019723367166686028,0.3723333775997162,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
22,0.015893128346457768,0.37304171919822693,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
23,0.015311907123153409,0.3734999895095825,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
24,0.012987191633631786,0.3709583282470703,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
25,0.011403850772088239,0.37283337116241455,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
26,0.011668487214289295,0.37287503480911255,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
27,0.009465660690087438,0.3737083375453949,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
28,0.010257335450053992,0.3722083568572998,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
29,0.008310403706370076,0.3733750283718109,24,24,200,1000,0.0,14,"(3, 32, 32)",10,0.03,0.99,24,,30,10
