iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.961023896932602,0.20454168319702148,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
1,1.358353581900398,0.22179168462753296,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
2,0.9356746015449365,0.24737504124641418,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
3,0.5198011031995217,0.28962498903274536,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
4,0.3394692565780133,0.3003750145435333,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
5,0.21730992067993307,0.2940833568572998,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
6,0.15691962042668214,0.30254170298576355,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
7,0.14034601695796786,0.3097083568572998,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
8,0.11041284929766941,0.3072083592414856,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
9,0.048416371922940016,0.3086250424385071,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
10,0.07345151612147068,0.3068750500679016,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
11,0.04345313590602018,0.3093750476837158,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
12,0.024501851255384583,0.31033337116241455,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
13,0.0276818732721343,0.3108333349227905,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
14,0.041595300824459024,0.3108333349227905,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
15,0.013093361267237924,0.30966663360595703,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
16,0.010466586531644376,0.3084167242050171,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
17,0.00807192811528997,0.31000006198883057,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
18,0.007407620597708349,0.3112083375453949,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
19,0.013697525032815369,0.3095000386238098,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
20,0.006134002813875365,0.31175002455711365,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
21,0.0054663781193085015,0.31025001406669617,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
22,0.004671706796216313,0.31187504529953003,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
23,0.023898095913561217,0.3060000538825989,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
24,0.004363973639556207,0.3114583492279053,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
25,0.0035452273538491377,0.30900001525878906,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
26,0.003236108105435657,0.31137505173683167,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
27,0.024118819002372522,0.3086250126361847,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
28,0.004314776155903625,0.31070834398269653,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
29,0.004900312344640649,0.3086667060852051,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,24,,30,10
