iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.6531245559453964,0.30395838618278503,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
1,1.148311225309347,0.3647499978542328,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
2,0.9223016530741006,0.38187503814697266,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
3,0.7639126561116427,0.38850006461143494,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
4,0.6104104997454366,0.3978750705718994,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
5,0.4790353736510345,0.4090000092983246,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
6,0.40272255483917735,0.40658336877822876,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
7,0.3029943199750657,0.41712498664855957,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
8,0.24844415879245693,0.41900011897087097,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
9,0.20408878784413295,0.4201667010784149,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
10,0.17607238505055042,0.42208337783813477,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
11,0.13065263964866367,0.424416720867157,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
12,0.10857972897065338,0.424333393573761,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
13,0.09597342931616974,0.42500007152557373,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
14,0.07624824992429542,0.424333393573761,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
15,0.05933233667504586,0.42629167437553406,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
16,0.05394122297245,0.42762506008148193,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
17,0.040712605371178746,0.4287499785423279,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
18,0.03483689653512556,0.42870840430259705,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
19,0.06261437426292105,0.42629170417785645,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
20,0.031351765011398434,0.4283750653266907,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
21,0.02382710165208361,0.4290417432785034,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
22,0.020345175038528396,0.42916667461395264,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
23,0.01729508977223304,0.4296666383743286,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
24,0.015026782799395733,0.43016672134399414,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
25,0.013620912398134047,0.42983338236808777,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
26,0.012050291119521717,0.43008333444595337,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
27,0.01083508288502344,0.43016666173934937,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
28,0.010112772810922857,0.4296666979789734,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
29,0.009026627671119059,0.43000003695487976,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,24,,30,10
