iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.301696022351583,0.1000400111079216,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
1,2.2984272837638855,0.13755503296852112,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
2,2.2606488366921744,0.11974789947271347,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
3,2.1538552045822144,0.1939275860786438,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
4,2.055082768201828,0.23904560506343842,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
5,2.0028317819039025,0.24169668555259705,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
6,1.9146641939878464,0.2769107520580292,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
7,1.846728801727295,0.3107743263244629,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
8,1.7780558566252391,0.32442978024482727,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
9,1.7722528278827667,0.32783111929893494,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
10,1.697913666566213,0.3462885320186615,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
11,1.673678422967593,0.33568429946899414,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
12,1.6121521939833958,0.37034809589385986,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
13,1.57312773168087,0.37525010108947754,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
14,1.5644337336222331,0.3740496039390564,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
15,1.52506223320961,0.38405367732048035,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
16,1.4756116370360057,0.39010605216026306,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
17,1.4686555167039235,0.394407719373703,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
18,1.4156809796889622,0.40041014552116394,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
19,1.4281539519627888,0.3992096781730652,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
20,1.3698476254940033,0.4054122567176819,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
21,1.3597461084524791,0.4051620364189148,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
22,1.3460002342859905,0.39960977435112,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
23,1.296538695693016,0.40896356105804443,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
24,1.2887552430232365,0.4057123064994812,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
25,1.2566249817609787,0.41651663184165955,24,2,100,1000,4,"(3, 32, 32)",10,0.06,0.98,23,50,10
