iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,0.9872870991627375,0.31425002217292786,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.2444496137710909,0.40162503719329834,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.5859901953178147,0.3758333623409271,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.2088190345093608,0.43283331394195557,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.3016573529069622,0.4282916486263275,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.08187835640273988,0.46816664934158325,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.26590292489466566,0.4701666831970215,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.27795391976057243,0.48583340644836426,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.048736176608751215,0.5044167041778564,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.03805558701666693,0.5117083787918091,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.04199846845585853,0.5210000872612,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.05839286255650222,0.5230417251586914,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.01220605883281678,0.5382084846496582,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.012730128519857923,0.5413333177566528,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.009693711394599328,0.5457916855812073,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.0087666575370046,0.5501250624656677,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.00817833860249569,0.5529583096504211,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.007824988085000465,0.5543333292007446,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.008205504020831237,0.5554583668708801,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.007016912839996318,0.5587916970252991,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.006940579468694826,0.5597500801086426,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.006472928391303867,0.5604584217071533,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.006552782549988478,0.5607917308807373,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.005862687345749388,0.5643332600593567,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.010375456535257399,0.5633333921432495,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.005301436875015497,0.5674167275428772,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.004990475097050269,0.5677083730697632,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.004883538349531591,0.5691667199134827,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.004838124228020509,0.5684167146682739,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.0045158659922890365,0.5700833797454834,24,4,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
