iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.9865516076485317,0.30133336782455444,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
1,1.7864739050467808,0.35874998569488525,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
2,1.7220472246408463,0.3500833511352539,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
3,1.634349375963211,0.3787500262260437,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
4,1.564547449350357,0.3993750214576721,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
5,1.5154530654350917,0.4021666944026947,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
6,1.4592017630736034,0.4183749854564667,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
7,1.428292527794838,0.42233332991600037,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
8,1.3689489861329396,0.4349166750907898,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
9,1.317965105175972,0.4493750035762787,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
10,1.272322376569112,0.4539583623409271,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
11,1.2371215770641963,0.45987504720687866,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
12,1.1955726345380147,0.46700000762939453,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
13,1.1569164544343948,0.4739583134651184,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
14,1.1394323408603668,0.46758338809013367,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
15,1.110536202788353,0.4673749804496765,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
16,1.0624523932735126,0.47687503695487976,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
17,0.999477706849575,0.4903750419616699,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
18,0.9711102992296219,0.49045833945274353,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
19,0.9396892612179121,0.4959166646003723,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
20,0.9157880420486132,0.4954167306423187,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
21,0.8939999416470528,0.4975000321865082,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
22,0.8753139600157738,0.4980834126472473,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
23,0.8174540946880976,0.5078750848770142,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
24,0.8088590800762177,0.5037916898727417,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
25,0.7854643911123276,0.5037916898727417,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
26,0.743941364188989,0.5095834136009216,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
27,0.7221329559882482,0.5129166841506958,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
28,0.6951221749186516,0.5136250257492065,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
29,0.700662299990654,0.5080833435058594,24,4,500,1000,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,4,,1
