iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.8933790624141693,0.3132500648498535,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
1,1.6164827247460682,0.374833345413208,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
2,1.5260446965694427,0.397875040769577,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
3,1.3891045153141022,0.4362500309944153,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
4,1.2804202685753505,0.4578750729560852,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
5,1.2168285101652145,0.4659166932106018,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
6,1.1587817519903183,0.47529172897338867,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
7,1.0741464470823605,0.48616668581962585,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
8,1.0189343988895416,0.491875022649765,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
9,0.974402037759622,0.4961667060852051,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
10,0.9292905852198601,0.5004167556762695,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
11,0.8630413264036179,0.5098750591278076,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
12,0.8337592532237371,0.5075417160987854,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
13,0.783645917971929,0.5160417556762695,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
14,0.7478365401426951,0.5175000429153442,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
15,0.7101485754052798,0.5216667056083679,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
16,0.674061007797718,0.5239583849906921,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
17,0.6467644199728966,0.5252500772476196,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
18,0.6139538908998171,0.5274167060852051,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
19,0.5878818146884441,0.528041660785675,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
20,0.5529866839448611,0.5321667790412903,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
21,0.5290879383683205,0.5321666598320007,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
22,0.5082058534026146,0.5322083830833435,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
23,0.481707834949096,0.5336250066757202,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
24,0.45603644226988155,0.536250114440918,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
25,0.4319619834423065,0.5348333120346069,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
26,0.4117574393749237,0.5368750095367432,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
27,0.3910358287394047,0.5357916355133057,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
28,0.37140021348992985,0.5370833873748779,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
29,0.3492346468071143,0.5379167199134827,24,4,500,1000,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,4,,1
