iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,2.0039571026961007,0.28404170274734497,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.6817945490280788,0.36008334159851074,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.5945634593566258,0.3762917220592499,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.542697216073672,0.3894166648387909,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.5457306454579036,0.3838333785533905,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.4325586160024006,0.397958368062973,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.3534443775812786,0.41454172134399414,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.3091377019882202,0.41566669940948486,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.2517596781253815,0.41862499713897705,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.1687223066886265,0.42625004053115845,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.1113035852710407,0.4310833811759949,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.080802249411742,0.43145841360092163,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.0301166102290154,0.4374583661556244,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.9842017740011215,0.4387917220592499,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.9565283581614494,0.43733343482017517,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.9114757676919302,0.4383750557899475,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.8827100222309431,0.43970829248428345,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.8400057554244995,0.44466671347618103,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.8043478230635325,0.44595837593078613,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.7816418831547102,0.44437503814697266,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.7372039432326952,0.4478333592414856,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.7096207315723101,0.44858333468437195,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.6772518629829088,0.4517083764076233,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.6582520653804144,0.4479166865348816,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.6266243644058704,0.4502500295639038,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.6014914438128471,0.4505833387374878,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.5746668117741743,0.44950002431869507,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.5548101129631201,0.45112499594688416,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.526872530579567,0.453291654586792,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.5077614511052767,0.45270836353302,24,24,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
