iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.7081194669008255,0.4064626097679138,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
1,1.425603027145068,0.45693278312683105,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
2,1.301929588119189,0.4939475655555725,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
3,1.200976585348447,0.5118046998977661,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
4,1.1373150497674942,0.5280112028121948,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
5,1.070135901371638,0.5365145206451416,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
6,0.9896979480981827,0.5537714958190918,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
7,0.9252052480975786,0.5602741241455078,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
8,0.874463364481926,0.5665766596794128,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
9,0.8277397056420644,0.5719287395477295,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
10,0.7828104421496391,0.5791816711425781,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
11,0.7396159519751867,0.5818827748298645,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
12,0.6994830916325251,0.5850340127944946,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
13,0.6652187779545784,0.5886855125427246,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
14,0.6301836172739664,0.5902860760688782,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
15,0.598786565164725,0.5930873155593872,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
16,0.5676050422092279,0.5961885452270508,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
17,0.5382405544320742,0.5982892513275146,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
18,0.5056558089951674,0.6007403135299683,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
19,0.4879102197786172,0.6018907427787781,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
20,0.46088836962978047,0.6030412316322327,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
21,0.4341762140393257,0.6029412150382996,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
22,0.413695494333903,0.6051920652389526,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
23,0.3923431870838006,0.6067927479743958,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
24,0.37192342306176823,0.6072429418563843,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
25,0.3490358926355839,0.6086434721946716,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
26,0.33291059359908104,0.6101940870285034,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
27,0.31490342567364377,0.6102940440177917,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
28,0.29792010846237343,0.6113445162773132,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
29,0.28003276387850445,0.6131951808929443,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,False,2,,1
