iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.852178931236267,0.33633336424827576,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
1,1.5525194108486176,0.40416669845581055,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
2,1.478685478369395,0.41704171895980835,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
3,1.3690794358650844,0.44662508368492126,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
4,1.2895830521980922,0.4566250443458557,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
5,1.2035914709170659,0.4789583384990692,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
6,1.125909447669983,0.48779162764549255,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
7,1.0565194959441822,0.49920839071273804,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
8,0.9852975010871887,0.5121250748634338,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
9,0.9499598319331805,0.515666663646698,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
10,0.8974679733316103,0.5214167237281799,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
11,0.8403578971823057,0.528083324432373,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
12,0.8006024981538454,0.533666729927063,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
13,0.7633011564612389,0.5329583883285522,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
14,0.7299186413486799,0.5354583859443665,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
15,0.6859734281897545,0.5427916646003723,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
16,0.6503812968730927,0.5441250205039978,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
17,0.6097932110230128,0.5457500219345093,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
18,0.5882387682795525,0.5480417013168335,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
19,0.5554981045424938,0.549666702747345,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
20,0.5285506248474121,0.5501667261123657,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
21,0.5081724561750889,0.5511250495910645,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
22,0.47854306548833847,0.5533334016799927,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
23,0.45252106462915737,0.5531250238418579,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
24,0.4307354713479678,0.5542917251586914,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
25,0.405660970757405,0.5571250915527344,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
26,0.38573557883501053,0.5589166283607483,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
27,0.3669176710148652,0.5586667060852051,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
28,0.34897708520293236,0.5591250658035278,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
29,0.33001353467504185,0.5588333606719971,24,3,500,1000,8,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,3,,1
