iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
71,0.06102695,0.03981772,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
72,0.05837134,0.036795154,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
73,0.056108385,0.03530546,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
74,0.053750604,0.0352342,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
75,0.05119876,0.03238377,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
76,0.048955947,0.03258581,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
77,0.047164697,0.031101637,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
78,0.04512491,0.02928538,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
79,0.043292087,0.029262517,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
80,0.041252766,0.026423795,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
81,0.03946382,0.025023432,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
82,0.03769023,0.025234792,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
83,0.036340553,0.023379881,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
84,0.03487221,0.021488197,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
85,0.033370394,0.020726368,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
86,0.032079533,0.019809224,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
87,0.030882545,0.018977934,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
88,0.029644229,0.017462136,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
89,0.028468523,0.017553918,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
90,0.027425628,0.01735329,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
91,0.026361765,0.017530061,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
92,0.025341071,0.01666701,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
93,0.024267634,0.016344292,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
94,0.023300746,0.015806913,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
95,0.022294102,0.014679389,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
96,0.021478787,0.013717183,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
97,0.020638522,0.013326237,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
98,0.019940875,0.012961439,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
99,0.019197531,0.013224988,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
100,0.018407144,0.012977267,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
101,0.017742207,0.011787691,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
102,0.017019166,0.011201558,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
103,0.016330002,0.010691571,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
104,0.015548306,0.010391885,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
105,0.014892772,0.009832103,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
106,0.014374425,0.009412859,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
107,0.01381025,0.009084468,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
