iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,7.5215526,606.77625,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
1,6.9356914,445.5132,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
2,6.503833,331.15292,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
3,6.0404944,243.7999,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
4,5.642077,181.88708,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
5,5.273653,132.01508,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
6,4.964946,99.041374,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
7,4.774315,76.71047,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
8,4.522179,58.827892,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
9,4.3342385,47.39031,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
10,4.1679635,37.936005,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
11,4.053344,29.873821,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
12,3.9106507,24.349028,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
13,3.770438,20.192022,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
14,3.6501756,17.44446,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
15,3.5250132,14.887346,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
16,3.391636,13.349161,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
17,3.2959569,11.65727,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
18,3.203202,10.102985,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
19,3.117141,9.374764,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
20,3.0392923,8.865032,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
21,2.943828,8.243521,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
22,2.867682,7.459156,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
23,2.8166795,6.9649034,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
24,2.7419608,6.9809394,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
25,2.6802797,6.9209676,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
26,2.6098368,6.500085,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
27,2.5478396,5.9499397,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
28,2.4888637,5.795083,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
29,2.4213853,5.5981846,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
30,2.3723803,5.514548,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
31,2.3105595,5.429236,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
32,2.2591474,5.109133,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
33,2.19786,4.884786,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
34,2.1600797,4.5404463,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
35,2.140449,4.4086757,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
36,2.085621,4.247895,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
37,2.0302808,4.2803764,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
38,1.9890631,3.8467622,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
39,1.9448668,3.673179,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
40,1.9068623,3.629287,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
41,1.8589833,3.6231766,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
42,1.8220457,3.7503443,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
43,1.8040538,3.5482607,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
44,1.7442656,3.4593644,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
45,1.7042753,3.27091,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
46,1.6716851,3.0600924,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
47,1.6323657,2.9493911,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
48,1.5918983,2.8923123,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
49,1.5553601,2.7704873,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
50,1.5128537,2.7927573,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
51,1.4799113,2.8723319,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
52,1.4612827,2.8505063,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
53,1.449711,2.66903,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
