iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,8.97218,87.754524,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
1,7.4262323,69.13061,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
2,6.114154,55.18665,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
3,5.081935,44.30186,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
4,4.2435384,35.481083,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
5,3.5502083,28.399818,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
6,2.9686108,22.724436,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
7,2.4785268,18.264036,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
8,2.0677838,14.745747,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
9,1.7426432,11.910659,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
10,1.4653116,9.667292,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
11,1.2467114,7.866469,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
12,1.0508856,6.346075,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
13,0.89140254,5.1601844,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
14,0.7526603,4.226118,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
15,0.63524634,3.4591,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
16,0.5412707,2.8203995,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
17,0.45930523,2.3153121,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
18,0.39204106,1.9084705,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
19,0.33469176,1.5665195,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
20,0.28280622,1.2747172,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
21,0.24133758,1.0483912,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
22,0.20662902,0.8636131,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
23,0.1753194,0.7098494,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
24,0.14773679,0.58125114,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
25,0.125989,0.47850868,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
26,0.1064961,0.39444664,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
27,0.09198261,0.32514685,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
28,0.078612626,0.2683751,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
29,0.06681323,0.22027382,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
30,0.05670407,0.18146908,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
31,0.047658216,0.1485712,2,100,10,10,0,10,False,MSELoss(),0.03,20,1500
