iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,8.17812,378.37683,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
1,7.173773,287.68802,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
2,6.317687,218.98334,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
3,5.5071807,164.82373,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
4,4.958051,126.33176,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
5,4.408122,97.17842,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
6,3.9261537,74.234604,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
7,3.5447772,57.646923,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
8,3.251196,45.485527,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
9,3.0025823,35.88606,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
10,2.7680225,28.147688,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
11,2.5314128,22.199766,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
12,2.3331363,17.498646,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
13,2.1503599,13.677774,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
14,1.9987049,10.89713,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
15,1.8401687,8.733125,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
16,1.6933218,7.0549574,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
17,1.5704389,5.8220124,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
18,1.4450444,4.8224773,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
19,1.3331159,3.9672816,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
20,1.2313902,3.3273308,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
21,1.1429955,2.7794611,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
22,1.0642525,2.329383,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
23,1.0110043,2.0136957,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
24,0.94302046,1.7579309,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
25,0.8828067,1.516539,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
