iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,7.6159067,613.2677,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
1,7.050728,449.97168,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
2,6.530098,324.84262,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
3,6.1642323,237.24234,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
4,5.7815614,176.55008,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
5,5.50608,133.05511,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
6,5.2252393,100.060486,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
7,4.976053,77.11253,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
8,4.8389673,59.567184,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
9,4.6158953,46.50436,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
10,4.4374714,36.765358,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
11,4.279287,28.673637,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
12,4.1610713,23.906233,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
13,4.0147552,20.256565,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
14,3.9218535,17.160236,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
15,3.8476808,15.006404,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
16,3.7339795,13.802657,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
17,3.6359208,12.387896,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
18,3.5287967,10.983151,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
19,3.4294982,9.992038,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
20,3.3502884,9.167394,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
21,3.2743118,8.431851,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
22,3.2107482,7.937692,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
23,3.1656513,7.548725,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
24,3.0994112,7.168755,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
25,3.0196118,6.594098,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
26,2.9731169,6.1548634,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
27,2.9046783,6.488549,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
28,2.8469274,6.228827,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
29,2.8015244,6.060863,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
30,2.7243938,6.0392084,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
31,2.6630163,5.552763,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
32,2.5891151,5.506498,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
33,2.541894,5.44713,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
34,2.4723456,5.1271214,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
35,2.4356644,5.1124306,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
36,2.3800018,4.9505844,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
37,2.3483124,4.8950114,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
38,2.3011105,4.6773286,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
39,2.2596982,4.487233,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
40,2.2346485,4.2666035,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
41,2.1901352,4.042235,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
42,2.1424546,3.955582,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
43,2.1030664,3.7864087,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
44,2.0688355,3.7620552,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
45,2.0285375,3.5514991,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
46,1.9866416,3.5325043,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
47,1.9461045,3.73911,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
48,1.9085462,3.9178197,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
49,1.8729719,3.6325448,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
50,1.8430759,3.6565878,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
51,1.8023416,3.5521905,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
52,1.7842101,3.3096194,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
53,1.738288,3.3592994,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
54,1.7058879,3.1446807,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
55,1.6775168,2.921865,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
56,1.6479322,2.7826955,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
57,1.6248646,2.7602692,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
58,1.5919274,2.940339,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
59,1.5658203,2.7989588,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
60,1.5348618,2.6723816,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
61,1.4993179,2.557158,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
62,1.471767,2.5040793,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
63,1.4650545,2.6776025,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
64,1.445619,2.6212182,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
65,1.4065975,2.5014546,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
66,1.3760979,2.5872974,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
67,1.357245,2.43814,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
68,1.333175,2.4906118,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
69,1.3056673,2.3802621,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
70,1.3059196,2.3811877,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
71,1.2816707,2.3636537,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
72,1.2609252,2.36715,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
73,1.2541335,2.294717,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
74,1.2249578,2.2308114,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
75,1.201159,2.140546,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
76,1.1974846,2.1304293,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
77,1.1830566,2.0689125,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
78,1.1663319,2.0755332,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
79,1.1446582,2.031786,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
80,1.1364384,1.9408505,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
81,1.1242797,2.1012795,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
82,1.108107,1.9220499,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
83,1.0893265,1.9829726,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
84,1.0847641,1.9021727,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
85,1.0682782,1.9285153,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
86,1.0481081,1.8613757,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
87,1.0399547,1.7868118,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
88,1.0243465,1.8635441,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
89,1.0058576,1.7904428,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
90,0.99597305,1.7206677,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
91,0.9940021,1.6945997,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
92,0.98594147,1.5376,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
93,0.9777701,1.5659094,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
94,0.9682044,1.5439736,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
95,0.9550646,1.5277624,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
96,0.93458915,1.548917,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
97,0.92082214,1.4898858,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
98,0.91049165,1.4920943,2,100,10,100,0,100,False,MSELoss(),0.03,20,1500
