iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,7.0241237,14.74466,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
1,5.6837626,11.845613,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
2,4.6157274,9.538002,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
3,3.7398665,7.7114034,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
4,3.0617926,6.24928,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
5,2.4959176,5.062323,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
6,2.028617,4.0969763,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
7,1.6396044,3.2914026,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
8,1.3334404,2.6504984,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
9,1.0868375,2.1406834,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
10,0.88342494,1.7244915,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
11,0.7134377,1.3859729,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
12,0.580664,1.1179568,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
13,0.47429407,0.9075134,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
14,0.38807708,0.73899263,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
15,0.3168338,0.59973013,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
16,0.25810817,0.48719192,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
17,0.20963502,0.39324802,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
18,0.17025626,0.31714272,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
19,0.13808551,0.25755095,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
20,0.112208456,0.20782809,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
21,0.09163484,0.16914938,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
22,0.07464063,0.13742962,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
23,0.060512178,0.11091368,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
24,0.049073514,0.08966385,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
25,0.040039606,0.07293084,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
26,0.032537602,0.05912101,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
27,0.02629486,0.0478222,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
28,0.021447126,0.038659986,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
29,0.017459998,0.03136037,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
30,0.01419247,0.025351178,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
31,0.011600033,0.020584513,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
32,0.009473048,0.01669775,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
33,0.007671244,0.013459132,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
34,0.0062397835,0.010866305,2,100,10,2,0,2,False,MSELoss(),0.03,20,1500
