iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
72,1.388067126472791,0.2609933912754059,3.3906211853027344,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
73,1.547288291802009,0.2654668688774109,3.4497852325439453,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
74,1.2476795911292236,0.2538738548755646,3.2864415645599365,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
75,1.3024512825906276,0.2553862929344177,3.3257668018341064,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
76,1.4246600386997064,0.265179842710495,3.4439404010772705,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
77,1.3747416828076044,0.27137109637260437,3.535099744796753,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
78,1.514631512562434,0.2829311788082123,3.651010751724243,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
79,1.60207897529006,0.31861987709999084,3.9955644607543945,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
80,1.3638926461338996,0.3022966980934143,3.8136346340179443,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
81,1.3287625541786352,0.29286038875579834,3.7227730751037598,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
82,1.377675581127405,0.3134579062461853,3.934627056121826,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
83,1.3660741164783636,0.30557262897491455,3.890324354171753,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
84,1.0903372236092885,0.26898154616355896,3.5068535804748535,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
85,1.7383926278352737,0.3800826966762543,4.593791484832764,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
86,1.6843209740022818,0.3750756084918976,4.6159234046936035,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
87,1.6263750442365805,0.3818976879119873,4.648919582366943,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
88,1.618547167032957,0.4094587564468384,4.897102355957031,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
89,1.6999254243075848,0.4376222789287567,5.2293195724487305,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
90,1.4825764997303486,0.35721921920776367,4.398929595947266,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
91,1.4239562705655893,0.3590550422668457,4.436781406402588,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
92,1.224368320753177,0.30759406089782715,3.9189493656158447,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
93,1.2498225879420837,0.30973905324935913,3.974510908126831,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
94,1.2947769554207722,0.3034806251525879,3.82889461517334,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
95,1.4558714918047189,0.32798242568969727,4.088070392608643,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
96,1.29159214399755,0.2935860753059387,3.722355604171753,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
97,1.5106655599673589,0.3147679567337036,3.9536850452423096,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
98,1.2507152597606181,0.2966487407684326,3.7870895862579346,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
99,1.4493310932566723,0.31453943252563477,3.9676332473754883,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
100,1.3702855294197798,0.3039463460445404,3.80287766456604,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
101,1.339886682977279,0.31645941734313965,3.942110776901245,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
102,1.1605326451857885,0.26781338453292847,3.470970869064331,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
103,1.2187448819975057,0.27500373125076294,3.542659282684326,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
104,1.4790191791951657,0.30048832297325134,3.8178622722625732,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
105,1.3474666094283263,0.27370622754096985,3.547264814376831,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
106,1.2485952831804752,0.25004470348358154,3.3499255180358887,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
107,1.0548718231916427,0.21722206473350525,2.9837639331817627,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
108,1.3080101735641558,0.2621620297431946,3.42685604095459,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
109,1.1877311891069016,0.2297901213169098,3.119635581970215,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
110,1.084414002597332,0.2216002643108368,3.0336990356445312,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
111,1.524394394159317,0.2703462541103363,3.4951412677764893,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
112,1.4799637658894063,0.26440316438674927,3.4402921199798584,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
113,1.5608926504850387,0.260322242975235,3.4358232021331787,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
114,1.9774099651972452,0.3239813446998596,4.126893043518066,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
115,1.5106821991006534,0.2937280833721161,3.7999749183654785,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
116,1.6240097148219745,0.3069327771663666,3.929067373275757,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
117,1.4559003460903963,0.2992264926433563,3.8235185146331787,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
118,1.5454853523274263,0.3144206702709198,3.959048271179199,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
119,1.7905845017234485,0.34943887591362,4.367307186126709,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
120,1.5354057873288791,0.3125164806842804,4.031554698944092,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
121,1.478451547821363,0.3231564164161682,4.115168571472168,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
122,1.6352136768897374,0.3354755640029907,4.204819202423096,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
123,1.4835962867240111,0.32837343215942383,4.1361188888549805,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
124,1.6143844958022238,0.36853545904159546,4.535229206085205,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
125,1.3862331820031006,0.338941365480423,4.2259345054626465,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
126,1.604484513675173,0.36246296763420105,4.424609661102295,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
127,1.303443422516187,0.3133905827999115,3.9736711978912354,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
128,1.1702891829113165,0.2712402641773224,3.5266289710998535,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
129,1.7470598625640075,0.33883434534072876,4.205348014831543,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
130,1.6433509756624698,0.324344277381897,4.050411701202393,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
131,1.465464929640293,0.3066514730453491,3.9015707969665527,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
132,1.3889029899736245,0.2886395752429962,3.7051925659179688,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
133,1.1595467189451059,0.24994517862796783,3.3306424617767334,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
134,1.3429543634255727,0.2631154954433441,3.4495537281036377,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
135,1.2150478915373484,0.2471982091665268,3.2743523120880127,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
136,1.2470796265204747,0.25790053606033325,3.4158496856689453,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
137,1.3412155247231325,0.2542565166950226,3.396681785583496,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
138,1.328924362063408,0.2606187164783478,3.4201409816741943,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
139,1.3660536102453869,0.2493099570274353,3.299753189086914,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
140,1.1442079103489717,0.2371240258216858,3.1666812896728516,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
