iter,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower,algo_S_20.0_mean,algo_S_20.0_upper,algo_S_20.0_lower,algo_S_30.0_mean,algo_S_30.0_upper,algo_S_30.0_lower,algo_S_50.0_mean,algo_S_50.0_upper,algo_S_50.0_lower
10,6.148820543289185,6.156507467670122,6.141133618908248,5.731060457229614,5.738729903903552,5.723391010555677,5.572254085540772,5.58026885708984,5.5642393139917035,5.4165825843811035,5.4258639005168305,5.4073012682453765
11,5.882152462005616,5.889975250760407,5.874329673250824,5.448854875564575,5.45641692704841,5.44129282408074,5.284714555740356,5.292783672332736,5.276645439147976,5.129219600132534,5.1387507839452,5.1196884163198675
12,5.620604562759399,5.628073178147098,5.613135947371701,5.177547597885132,5.185198014113792,5.169897181656473,5.0133116245269775,5.0206179206682515,5.006005328385704,4.862730911799839,4.8725134298555215,4.852948393744157
13,5.374827480316162,5.382683828671977,5.366971131960346,4.925488662719727,4.932546670865364,4.91843065457409,4.7631299018859865,4.769514603374209,4.756745200397764,4.611376898629325,4.621215561032293,4.601538236226356
14,5.136640453338623,5.143883672603087,5.12939723407416,4.6846091747283936,4.691670188699726,4.677548160757061,4.520236301422119,4.526516605575569,4.513955997268669,4.372338022504534,4.382285220534666,4.362390824474403
15,4.912576580047608,4.9201883292524675,4.904964830842748,4.45572247505188,4.462353709617098,4.449091240486663,4.29427661895752,4.300779775455115,4.287773462459925,4.149135385240827,4.157667367142685,4.140603403338969
16,4.698587703704834,4.707370121719805,4.689805285689863,4.236446666717529,4.243533968621364,4.2293593648136945,4.078494596481323,4.084835846908338,4.072153346054308,3.9371154648917064,3.9454575936253518,3.928773336158061
17,4.497644424438477,4.505761890758796,4.489526958118157,4.033159685134888,4.039731144306966,4.02658822596281,3.877058506011963,3.882813207716857,3.8713038043070687,3.7389852660042897,3.7469053304758373,3.731065201532742
18,4.301369953155517,4.3103316850433755,4.292408221267659,3.8381081104278563,3.844887874280889,3.8313283465748236,3.685055637359619,3.6912666806205303,3.678844594098708,3.549452372959682,3.5585306357546123,3.5403741101647515
19,4.116864967346191,4.124939626402493,4.10879030828989,3.6523947954177856,3.658472233105113,3.646317357730458,3.5041765451431273,3.5096940139837636,3.498659076302491,3.3747667244502475,3.382809932078339,3.366723516822156
