iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.8062866851687431,0.4495416581630707,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
1,0.40353782599171,0.4773333668708801,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
2,0.27071861860652763,0.5009584426879883,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
3,0.20510694105178118,0.5109583139419556,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
4,0.1814184474448363,0.5132083296775818,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
5,0.4737508275235693,0.4829167127609253,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
6,0.32394277552763623,0.4924166798591614,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
7,0.24613218816618124,0.49791666865348816,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
8,0.24257828559105596,0.4909999966621399,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
9,0.20163753535598516,0.4971667230129242,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
10,0.19724589384471378,0.49379169940948486,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
11,0.162460974107186,0.503125011920929,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
12,0.11859674806085725,0.5003750324249268,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
13,0.12150307488627732,0.502125084400177,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
14,0.091119040036574,0.5117499828338623,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
15,0.0846754521674787,0.5099167227745056,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
16,0.08274091101096322,0.5084583759307861,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
17,0.08257963054347783,0.5112917423248291,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
18,0.06625183923946072,0.5045417547225952,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
19,0.0649596225315084,0.5099583864212036,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
20,0.07033066168272246,0.50516676902771,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
21,0.058341256769684456,0.5089167356491089,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
22,0.0365295866310286,0.5135000348091125,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
23,0.04921951792978992,0.5071250200271606,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
24,0.03884391608880833,0.5068334341049194,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
25,0.028736418636981398,0.5080417394638062,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
26,0.027969566290266812,0.5062084197998047,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
27,0.03983167417269821,0.5037499666213989,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
28,0.02923980475558589,0.5042499899864197,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
29,0.03428013859471927,0.5078333616256714,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
