iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.8285709793368975,0.4486250877380371,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
1,0.39064368481437367,0.4842917323112488,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
2,0.24223664651314417,0.5011249780654907,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
3,0.19424315883467594,0.5162500739097595,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
4,0.17903848799566427,0.5204167366027832,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
5,0.13339972589164972,0.5329167246818542,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
6,0.12077416339889169,0.5320833325386047,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
7,0.09933333999166886,0.5408750176429749,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
8,0.06435318516256909,0.5480833649635315,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
9,0.05520614329725504,0.5460001230239868,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
10,0.4441322172060609,0.49408337473869324,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
11,0.3159707630984485,0.5019999742507935,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
12,0.20575876161456108,0.5116250514984131,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
13,0.18507137265987694,0.5070416927337646,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
14,0.2467237743549049,0.499416708946228,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
15,0.16012214155246815,0.5003333687782288,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
16,0.14656459619679177,0.5038334131240845,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
17,0.12268468888942152,0.5067917108535767,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
18,0.1292428012432841,0.5049583911895752,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
19,0.09861829940928146,0.5077916979789734,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
20,0.11316609902617832,0.5062083601951599,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
21,0.08822250925004482,0.5082917213439941,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
22,0.05948270041456757,0.5156667232513428,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
23,0.08251018930847447,0.5076666474342346,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
24,0.07410960223448153,0.5113334059715271,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
25,0.06011279583132515,0.5130416750907898,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
26,0.04746925076081728,0.5121250152587891,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
27,0.04384526270829762,0.518250048160553,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
28,0.04468130382398764,0.5083751082420349,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
29,0.043849088406811156,0.5102500915527344,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
