iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.7781866316994032,0.4503750503063202,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
1,0.4054802854855855,0.4765416979789734,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
2,0.2622537861267726,0.4958750903606415,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
3,0.22245109546929598,0.5060417056083679,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
4,0.13295987248420715,0.518875002861023,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
5,0.11265859597673018,0.5259166955947876,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
6,0.10313102276995778,0.5293334126472473,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
7,0.08417573353896539,0.5296667814254761,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
8,0.07744079145292442,0.5395417213439941,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
9,0.06642828447123368,0.5407916307449341,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
10,0.07191178544114034,0.5436667203903198,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
11,0.05010840824494759,0.5481667518615723,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
12,0.03664384219640245,0.5533750653266907,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
13,0.03926573045706997,0.5504999756813049,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
14,0.045327349953974284,0.5512917041778564,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
15,0.03243973994782815,0.5480833649635315,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
16,0.031125385818692546,0.5452500581741333,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
17,0.020349932562870283,0.5434166789054871,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
18,0.02437631997357433,0.5482916831970215,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
19,0.034673614446849875,0.5443333387374878,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
20,0.3459699959882225,0.4902500510215759,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
21,0.22909448394784704,0.49741673469543457,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
22,0.19492032968749604,0.502625048160553,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
23,0.18035303168774894,0.4992083013057709,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
24,0.14754001377150416,0.5057083964347839,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
25,0.16736446000868455,0.4960000216960907,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
26,0.12013931789745887,0.5040416717529297,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
27,0.09927448816597462,0.5017499923706055,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
28,0.0910460990271531,0.5057500600814819,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
29,0.08873242721892893,0.5021666884422302,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
