iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
73,0.067344405,0.11438516,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
74,0.06302802,0.10707604,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
75,0.059016053,0.10028181,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
76,0.055258438,0.09387748,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
77,0.05180947,0.087755226,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
78,0.048474003,0.08202859,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
79,0.04537387,0.07666476,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
80,0.042504262,0.071816176,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
81,0.039850388,0.067276895,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
82,0.03732332,0.0629941,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
83,0.034816533,0.058634914,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
84,0.032645185,0.05499515,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
85,0.030596284,0.051419243,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
86,0.028677817,0.048208997,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
87,0.02692118,0.045187797,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
88,0.02521361,0.042356182,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
89,0.023605317,0.039658085,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
90,0.022103094,0.03712398,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
91,0.020691413,0.03469996,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
92,0.019375207,0.032447938,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
93,0.018222176,0.030529343,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
94,0.017125066,0.028673826,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
95,0.016022097,0.026827505,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
96,0.0150141865,0.025143998,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
97,0.014082933,0.023557777,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
98,0.0131684365,0.02202106,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
99,0.012341517,0.020613365,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
100,0.011555414,0.019269187,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
101,0.0108427,0.018060874,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
102,0.010166776,0.016903583,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
103,0.009529618,0.015827978,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
104,0.00893174,0.014828151,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
105,0.008365456,0.013882595,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
