iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.3014593,0.1064000055193901,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
1,2.2991014,0.11369999498128891,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
2,2.2967265,0.12105000019073486,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
3,2.2944207,0.121799997985363,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
4,2.2920575,0.12449999153614044,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
5,2.2892795,0.12605001032352448,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
6,2.2861884,0.13010001182556152,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
7,2.282957,0.13225002586841583,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
8,2.2793546,0.13474999368190765,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
9,2.2751813,0.1356000155210495,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
10,2.2705274,0.13659998774528503,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
11,2.2652488,0.1385500133037567,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
12,2.2592418,0.14105001091957092,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
13,2.2527823,0.14380000531673431,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
14,2.2455564,0.14740000665187836,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
15,2.237791,0.15295001864433289,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
16,2.22933,0.16095001995563507,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
17,2.2204375,0.16895000636577606,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
18,2.210537,0.17949999868869781,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
19,2.1997585,0.18675000965595245,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
20,2.1879063,0.19560003280639648,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
21,2.1751463,0.2026500254869461,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
22,2.1613343,0.21089999377727509,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
23,2.1467745,0.21925000846385956,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
24,2.1310668,0.22609999775886536,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
25,2.114694,0.23275001347064972,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
26,2.098069,0.24100004136562347,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
27,2.0811517,0.24619999527931213,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
28,2.0641274,0.2510000169277191,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
29,2.0473378,0.25950002670288086,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
30,2.0313003,0.2615000307559967,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
31,2.015401,0.2659499943256378,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
32,2.0002553,0.27330005168914795,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
33,1.9856933,0.27480003237724304,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
34,1.9713573,0.27924999594688416,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
35,1.9579885,0.2835500240325928,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
36,1.9445928,0.28530004620552063,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
37,1.9325924,0.2888000011444092,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
38,1.9191452,0.2900499999523163,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
39,1.9069401,0.2955000400543213,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
40,1.8959024,0.29785001277923584,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
41,1.8849157,0.300650030374527,20,1,10,1000,1000,7,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
