iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.3009505,0.10835001617670059,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
1,2.2986124,0.11500000208616257,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
2,2.2961843,0.12044999748468399,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
3,2.293972,0.12355001270771027,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
4,2.291372,0.12755002081394196,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
5,2.2887192,0.12870000302791595,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
6,2.2857232,0.12800000607967377,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
7,2.282507,0.13015000522136688,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
8,2.2789717,0.13250000774860382,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
9,2.2749498,0.1372000277042389,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
10,2.2702322,0.1429000049829483,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
11,2.264934,0.14845000207424164,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
12,2.2590554,0.15495000779628754,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
13,2.2524362,0.16020001471042633,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
14,2.2447498,0.1666499823331833,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
15,2.2363725,0.17365001142024994,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
16,2.2268486,0.18090000748634338,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
17,2.216188,0.19060002267360687,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
18,2.204398,0.19720003008842468,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
19,2.1916323,0.2041500061750412,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
20,2.177448,0.21244998276233673,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
21,2.1619787,0.22030003368854523,20,1,10,1000,1000,5,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
