iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.3011012,0.10440000146627426,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
1,2.299063,0.11225000768899918,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
2,2.2969527,0.11790000647306442,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
3,2.2948823,0.12265000492334366,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
4,2.2927668,0.1284000128507614,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
5,2.2904553,0.13100001215934753,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
6,2.288114,0.13430000841617584,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
7,2.2854762,0.13619999587535858,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
8,2.28272,0.13920001685619354,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
9,2.2795331,0.14170001447200775,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
10,2.275944,0.14265002310276031,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
11,2.2720523,0.14395000040531158,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
12,2.2678134,0.14595000445842743,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
13,2.262879,0.14965002238750458,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
14,2.2573943,0.1525000035762787,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
15,2.2512577,0.1565999984741211,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
16,2.2444892,0.1624000072479248,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
17,2.2364526,0.16860000789165497,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
18,2.227426,0.17375002801418304,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
19,2.2182152,0.17989999055862427,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
20,2.2073846,0.18655002117156982,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
21,2.1957555,0.19565002620220184,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
22,2.183033,0.20315001904964447,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
23,2.1694312,0.21085003018379211,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
24,2.1554313,0.22124998271465302,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
25,2.1406775,0.22995002567768097,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
26,2.1248727,0.23895001411437988,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
27,2.1089156,0.2476000040769577,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
28,2.0922985,0.25290000438690186,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
29,2.0760868,0.2578500211238861,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
30,2.0596328,0.2642500102519989,20,1,10,1000,1000,2,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
