iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.301022,0.1128000020980835,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
1,2.2990944,0.12070000171661377,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
2,2.297051,0.13055001199245453,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
3,2.2949924,0.13740000128746033,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
4,2.2928743,0.14295001327991486,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
5,2.2906008,0.147350013256073,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
6,2.2881675,0.15210001170635223,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
7,2.2854695,0.1561499983072281,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
8,2.282658,0.15960000455379486,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
9,2.279439,0.16255000233650208,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
10,2.275747,0.16670000553131104,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
11,2.271669,0.17115001380443573,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
12,2.2668412,0.1761000007390976,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
13,2.2611473,0.18050000071525574,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
14,2.254447,0.1847500056028366,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
15,2.247221,0.19029998779296875,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
16,2.2389283,0.1951500028371811,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
17,2.229624,0.19999998807907104,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
18,2.2190976,0.20639999210834503,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
19,2.2084055,0.2152000218629837,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
20,2.1953998,0.2197500318288803,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
21,2.181432,0.2253500521183014,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
22,2.16638,0.23234999179840088,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
23,2.1508117,0.23725001513957977,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
24,2.134604,0.24260003864765167,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
25,2.1180933,0.24900005757808685,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
26,2.100328,0.2535500228404999,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
27,2.083124,0.25745001435279846,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
28,2.0661476,0.2621999979019165,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
29,2.049277,0.26680001616477966,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
30,2.0328574,0.2732999920845032,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
31,2.0173514,0.2766999900341034,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
32,2.0021253,0.28155001997947693,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
33,1.9875695,0.2841000258922577,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
34,1.9725071,0.2876500189304352,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
35,1.958436,0.290800005197525,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
36,1.9444383,0.2936500012874603,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
37,1.9311135,0.29545000195503235,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
38,1.9179714,0.2991500496864319,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
39,1.9054981,0.303100049495697,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
40,1.8930085,0.30560001730918884,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
41,1.8814571,0.3078499734401703,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
42,1.86931,0.31144997477531433,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
43,1.8568363,0.3135499954223633,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
44,1.84601,0.31665006279945374,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
45,1.8343989,0.3183499872684479,20,1,10,1000,1000,8,"(3, 32, 32)",10,0.01,0.9,0.995,10,100,2
